"year","local_code","local_name","vehicle_type","maker","model","national_subsidy_manwon","local_subsidy_manwon","total_subsidy_manwon","source"
"2026","3100","울산광역시","일반승용","테슬라코리아","Model Y Premium RWD","170","51","221","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","3100","울산광역시","일반승용","테슬라코리아","Model Y Premium Long Range","210","63","273","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","3611","세종특별자치시","일반승용","테슬라코리아","Model 3 Performance","200","60","260","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","3611","세종특별자치시","일반승용","테슬라코리아","Model 3 RWD","168","50","218","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","3611","세종특별자치시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","126","546","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","3611","세종특별자치시","일반승용","테슬라코리아","Model Y Premium RWD","170","51","221","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","3611","세종특별자치시","일반승용","테슬라코리아","Model Y Premium Long Range","210","63","273","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4111","수원시","일반승용","테슬라코리아","Model 3 Performance","200","83","283","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4111","수원시","일반승용","테슬라코리아","Model 3 RWD","168","70","238","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4111","수원시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","175","595","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4111","수원시","일반승용","테슬라코리아","Model Y Premium RWD","170","70","240","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4111","수원시","일반승용","테슬라코리아","Model Y Premium Long Range","210","87","297","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4113","성남시","일반승용","테슬라코리아","Model 3 Performance","200","90","290","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
